,INCOME,SEX,MARITAL.STATUS,AGE,EDUCATION,OCCUPATION,AREA,DUAL.INCOMES,HOUSEHOLD.SIZE,UNDER18,HOUSEHOLDER,HOME.TYPE,ETHNIC.CLASS,LANGUAGE
53,[75.000-,F,Married,45-54,Grad Study,Homemaker,10+ years,No,Two,,Own,House,White,
54,[15.000-20.000),M,Married,14-17,College graduate,Retired,10+ years,Yes,Three,,Rent,House,Black,Spanish
55,-10.000),M,Single,14-17,Grade 8 or less,Factory Worker/Laborer/Driver,10+ years,Not Married,,,Family,House,White,English
56,-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,Four,Two,Family,House,White,English
57,[75.000-,F,Married,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
58,[50.000-75.000),F,Married,55-64,Grad Study,Homemaker,10+ years,No,Two,,Own,House,White,English
59,-10.000),F,Divorced,45-54,1 to 3 years of college,Professional/Managerial,1-3 years,Not Married,One,,Own,House,White,English
60,[50.000-75.000),M,Married,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Yes,Three,One,Own,House,White,English
61,[20.000-25.000),M,Divorced,35-44,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,One,,Own,House,Other,English
62,[50.000-75.000),F,Married,25-34,College graduate,Professional/Managerial,7-10 years,Yes,Three,One,Own,Condominium,White,English
63,[40.000-50.000),M,Married,65+,1 to 3 years of college,Retired,10+ years,Yes,Four,Two,Own,House,White,English
64,[15.000-20.000),F,Married,45-54,1 to 3 years of college,Homemaker,,Not Married,Four,One,Rent,Apartment,Asian,
65,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Three,Family,House,Hispanic,English
66,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Three,Family,House,White,English
67,[40.000-50.000),F,Married,35-44,1 to 3 years of college,Homemaker,7-10 years,No,Four,Two,Own,House,Asian,Other
68,-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,Three,,Family,House,White,English
69,[75.000-,F,Married,55-64,College graduate,Professional/Managerial,,Yes,Two,,Own,House,White,English
70,[15.000-20.000),F,Divorced,35-44,Grades 9 to 11,Professional/Managerial,10+ years,Not Married,Two,,Family,House,White,English
71,[75.000-,F,Married,35-44,1 to 3 years of college,Homemaker,10+ years,No,Four,Two,Own,House,White,English
72,[50.000-75.000),F,Married,25-34,1 to 3 years of college,Homemaker,1-3 years,No,Four,Two,Own,Condominium,White,English
73,-10.000),M,Single,14-17,Grades 9 to 11,Clerical/Service Worker,10+ years,Not Married,Five,Three,Family,House,White,English
74,[30.000-40.000),F,Married,45-54,Graduated High Scool,Homemaker,,No,Three,One,Own,House,White,English
75,[10.000-15.000),F,Married,55-64,Graduated High Scool,Retired,,No,,,Rent,Apartment,White,Other
76,[20.000-25.000),F,Single,25-34,College graduate,Professional/Managerial,10+ years,Not Married,Four,,Rent,House,Black,Other
77,[15.000-20.000),F,Married,65+,Graduated High Scool,Homemaker,,No,Two,Two,Own,House,White,English
78,[50.000-75.000),F,Together,18-24,College graduate,Professional/Managerial,7-10 years,Not Married,Two,,Rent,Apartment,White,English
79,[25.000-30.000),M,Married,25-34,College graduate,"Student, HS or College",1-3 years,No,Three,,Rent,House,White,English
80,[30.000-40.000),F,,35-44,College graduate,Homemaker,,No,Five,Three,Own,House,White,English
81,[75.000-,M,Married,55-64,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
82,[10.000-15.000),F,Married,18-24,Grades 9 to 11,Homemaker,4-6 years,No,Four,Two,Rent,Apartment,White,English
83,[10.000-15.000),F,Together,35-44,1 to 3 years of college,Factory Worker/Laborer/Driver,,Not Married,Two,,Rent,House,White,English
84,[75.000-,F,Married,35-44,Grad Study,Homemaker,1-3 years,No,Four,One,Own,House,White,English
85,[20.000-25.000),M,Married,25-34,1 to 3 years of college,Professional/Managerial,4-6 years,Yes,Two,,Rent,Apartment,Asian,English
86,[15.000-20.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",7-10 years,Not Married,Two,,Rent,Apartment,White,English
87,[25.000-30.000),F,Married,18-24,1 to 3 years of college,Sales Worker,10+ years,Yes,Two,,Rent,Apartment,White,English
88,[25.000-30.000),M,Divorced,55-64,Graduated High Scool,Retired,,Not Married,One,,Own,Condominium,White,English
89,[75.000-,F,Single,18-24,1 to 3 years of college,"Student, HS or College",4-6 years,Not Married,Four,,Family,House,White,English
90,[50.000-75.000),F,Married,55-64,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Two,,Own,House,White,English
91,[75.000-,M,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Three,,Family,House,White,English
92,[75.000-,M,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Four,,Own,House,Hispanic,English
93,[40.000-50.000),F,Married,55-64,1 to 3 years of college,Homemaker,1-3 years,Not Married,Two,,Own,Other,White,Other
94,[50.000-75.000),F,Married,55-64,Graduated High Scool,Sales Worker,10+ years,Yes,Two,,Own,House,White,English
95,[15.000-20.000),M,Married,65+,Graduated High Scool,Retired,10+ years,No,Two,,Own,Mobile Home,White,English
96,[40.000-50.000),F,Married,55-64,1 to 3 years of college,Retired,10+ years,No,Two,,Own,Condominium,White,English
97,[25.000-30.000),F,Married,65+,1 to 3 years of college,Retired,,No,Two,,Own,House,White,English
98,-10.000),F,Divorced,65+,Graduated High Scool,Retired,10+ years,Not Married,Two,,Own,House,White,English
99,[75.000-,F,Married,45-54,Grad Study,Professional/Managerial,10+ years,Yes,Four,Two,Own,House,White,English
100,[20.000-25.000),F,,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,,,Rent,,White,
101,[50.000-75.000),F,Married,45-54,Grad Study,Professional/Managerial,1-3 years,Yes,Three,,Own,House,East Indian,Other
102,[40.000-50.000),F,Married,35-44,Graduated High Scool,Homemaker,10+ years,No,Two,,Own,House,Other,Spanish
103,[25.000-30.000),F,Single,14-17,Graduated High Scool,Unemployed,7-10 years,Not Married,Three,One,Family,House,White,English
104,[30.000-40.000),M,Single,18-24,Graduated High Scool,"Student, HS or College",10+ years,Not Married,Two,,Family,House,White,English
105,[50.000-75.000),M,Single,14-17,Grades 9 to 11,Sales Worker,10+ years,Not Married,Three,One,Family,House,White,English
106,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Three,Family,House,White,English
107,[40.000-50.000),F,Single,14-17,Grade 8 or less,Professional/Managerial,1-3 years,Not Married,Seven,Five,Rent,Condominium,Other,
108,-10.000),F,Single,18-24,Graduated High Scool,Professional/Managerial,10+ years,Not Married,Two,,Family,Apartment,White,English
109,[40.000-50.000),F,Married,55-64,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Six,,Own,House,American Indian,English
110,[30.000-40.000),F,Married,45-54,1 to 3 years of college,Homemaker,10+ years,No,Four,,Own,House,White,English
111,[50.000-75.000),M,Married,25-34,Grad Study,Sales Worker,1-3 years,Yes,Two,,Rent,Apartment,,English
112,[75.000-,M,Single,18-24,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,One,Family,House,White,English
113,[20.000-25.000),F,Together,25-34,Graduated High Scool,Clerical/Service Worker,1-3 years,Not Married,Three,One,Rent,Apartment,American Indian,English
114,[25.000-30.000),F,,65+,Graduated High Scool,Retired,10+ years,Not Married,One,,Rent,Apartment,White,English
115,[25.000-30.000),F,Married,65+,1 to 3 years of college,Retired,10+ years,No,Two,,Own,House,White,English
116,[10.000-15.000),F,Divorced,25-34,1 to 3 years of college,Clerical/Service Worker,,Not Married,Three,One,Rent,Condominium,White,English
117,[15.000-20.000),F,Married,18-24,College graduate,Sales Worker,1-3 years,Yes,Two,,Rent,House,White,English
118,[30.000-40.000),M,Single,45-54,Grad Study,Professional/Managerial,-1 year,Not Married,One,,Rent,Condominium,White,English
119,[40.000-50.000),F,Widowed,65+,Graduated High Scool,Retired,1-3 years,Not Married,Two,,,Condominium,White,English
120,[40.000-50.000),F,Divorced,65+,College graduate,Retired,,Not Married,,,Rent,Condominium,White,
121,[40.000-50.000),F,Divorced,35-44,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,,,Own,House,White,English
122,-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,,,Family,House,White,
123,[75.000-,F,Married,25-34,College graduate,Homemaker,4-6 years,No,Three,One,Own,House,White,English
124,[50.000-75.000),F,Together,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Two,,Own,House,White,
125,[50.000-75.000),F,Together,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Two,,Own,House,White,English
126,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",,Not Married,Five,One,Family,House,White,English
127,[50.000-75.000),F,Married,35-44,College graduate,Clerical/Service Worker,4-6 years,Yes,Four,Two,Own,House,White,English
128,[40.000-50.000),F,,35-44,Graduated High Scool,,,No,Four,Two,Own,House,White,
129,[30.000-40.000),F,Divorced,25-34,1 to 3 years of college,Homemaker,10+ years,Not Married,Four,Three,Rent,Condominium,White,English
130,[50.000-75.000),M,Married,55-64,1 to 3 years of college,Retired,10+ years,No,,,,,,
131,[20.000-25.000),F,Married,45-54,Grad Study,Clerical/Service Worker,10+ years,No,Three,,Own,House,White,English
132,[75.000-,F,Married,45-54,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
133,-10.000),M,Single,14-17,Grade 8 or less,Unemployed,10+ years,Not Married,Five,Three,Family,House,Hispanic,English
134,[50.000-75.000),F,Married,45-54,1 to 3 years of college,Professional/Managerial,7-10 years,Yes,Five,One,Own,House,White,English
135,[50.000-75.000),F,Married,55-64,1 to 3 years of college,Professional/Managerial,10+ years,No,Two,,Own,House,White,English
136,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",,Not Married,Eight,Six,Family,,White,English
137,[75.000-,F,Married,45-54,Grad Study,Homemaker,1-3 years,No,Three,,Own,House,White,English
138,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",4-6 years,Not Married,Five,Three,Family,Apartment,Asian,Other
139,[40.000-50.000),M,Married,35-44,1 to 3 years of college,Professional/Managerial,7-10 years,Yes,Six,Two,Rent,House,White,English
140,[75.000-,M,Married,35-44,Grad Study,Professional/Managerial,4-6 years,Yes,Five,Three,Own,House,White,English
141,[40.000-50.000),M,Married,65+,Graduated High Scool,Professional/Managerial,10+ years,No,Two,,Own,House,White,English
142,[40.000-50.000),M,Married,65+,Grad Study,Professional/Managerial,10+ years,No,Three,,Own,House,White,English
143,[20.000-25.000),M,Single,18-24,1 to 3 years of college,Professional/Managerial,,Not Married,Seven,,Rent,Condominium,White,English
144,[40.000-50.000),F,Divorced,45-54,1 to 3 years of college,Professional/Managerial,7-10 years,Not Married,Two,,Own,House,White,English
145,-10.000),F,Single,25-34,Grad Study,"Student, HS or College",10+ years,Not Married,Seven,One,Family,House,White,English
146,[40.000-50.000),M,Married,65+,Graduated High Scool,Retired,10+ years,No,Three,,Own,House,White,English
147,-10.000),M,Single,18-24,1 to 3 years of college,Unemployed,1-3 years,Not Married,,,Rent,Apartment,Black,English
148,[25.000-30.000),M,Married,65+,Graduated High Scool,Retired,10+ years,No,Two,,Own,House,White,English
149,[75.000-,F,Married,35-44,Grad Study,Professional/Managerial,4-6 years,Yes,Four,Two,Own,House,White,English
150,[10.000-15.000),F,Single,14-17,Grades 9 to 11,Clerical/Service Worker,4-6 years,Not Married,Two,One,Family,,White,English
151,[10.000-15.000),F,Single,14-17,Grades 9 to 11,Clerical/Service Worker,10+ years,Not Married,Three,Two,Family,Apartment,Hispanic,English
152,[50.000-75.000),M,Married,55-64,1 to 3 years of college,Retired,10+ years,No,Two,,Own,House,White,English
153,[50.000-75.000),F,Married,35-44,1 to 3 years of college,Homemaker,10+ years,No,Four,,Own,House,White,English
154,[75.000-,F,Married,35-44,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
155,[75.000-,F,Married,25-34,College graduate,Professional/Managerial,4-6 years,Yes,Two,,Own,Other,White,English
156,[75.000-,F,Married,35-44,Grad Study,Professional/Managerial,10+ years,Yes,Three,One,Own,House,White,English
157,[75.000-,M,Married,35-44,Grad Study,Professional/Managerial,10+ years,Yes,Two,,Own,House,Hispanic,English
158,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",4-6 years,Not Married,Six,Three,Family,Other,White,English
159,[10.000-15.000),F,Married,18-24,Graduated High Scool,Professional/Managerial,10+ years,Yes,Two,,Rent,Apartment,White,English
160,[75.000-,M,Married,65+,Grad Study,Professional/Managerial,10+ years,No,Three,Three,Own,House,White,English
161,[30.000-40.000),F,Married,35-44,Graduated High Scool,Professional/Managerial,10+ years,No,Four,Two,Own,House,White,English
162,[15.000-20.000),F,Married,65+,1 to 3 years of college,Retired,,No,Two,,,Other,White,English
163,[20.000-25.000),F,Divorced,65+,Graduated High Scool,Retired,,Not Married,One,,,Apartment,Asian,English
164,[15.000-20.000),F,Divorced,55-64,College graduate,Professional/Managerial,10+ years,Not Married,Two,,Own,House,White,English
165,-10.000),F,Widowed,65+,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,One,,Own,House,White,English
166,-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",7-10 years,Not Married,Three,,Family,Condominium,Hispanic,English
167,[30.000-40.000),F,Married,25-34,Graduated High Scool,Homemaker,10+ years,No,Four,Two,Own,House,White,English
168,[25.000-30.000),M,Single,35-44,1 to 3 years of college,Sales Worker,10+ years,Not Married,One,,Rent,Apartment,White,English
169,[40.000-50.000),F,Widowed,45-54,1 to 3 years of college,Retired,1-3 years,Not Married,Two,,Rent,Apartment,White,English
170,[40.000-50.000),M,Single,25-34,1 to 3 years of college,Professional/Managerial,1-3 years,Not Married,Two,,Own,House,White,English
171,[40.000-50.000),M,Married,65+,Grad Study,,10+ years,No,Two,,Own,House,White,English
172,[25.000-30.000),F,Married,65+,1 to 3 years of college,Retired,10+ years,No,Two,,Own,,White,English
173,-10.000),F,Single,18-24,1 to 3 years of college,"Student, HS or College",7-10 years,Not Married,,,Rent,Condominium,White,English
174,[25.000-30.000),M,Married,65+,1 to 3 years of college,Retired,10+ years,No,Two,,Own,House,White,English
175,[10.000-15.000),F,Single,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,One,,Rent,Apartment,White,English
176,[10.000-15.000),F,Single,25-34,Graduated High Scool,Factory Worker/Laborer/Driver,7-10 years,Not Married,Three,One,Rent,Apartment,White,English
177,[20.000-25.000),F,Widowed,65+,College graduate,Retired,10+ years,Not Married,One,One,Rent,Apartment,White,English
178,[50.000-75.000),F,Married,55-64,College graduate,Sales Worker,10+ years,Yes,Two,,Own,House,White,English
179,[50.000-75.000),F,Married,35-44,Grad Study,Homemaker,7-10 years,No,Five,Three,Own,House,White,Other
180,[20.000-25.000),M,Married,65+,College graduate,Retired,10+ years,No,Two,,Own,House,White,English
181,[25.000-30.000),F,Single,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,One,,Rent,Apartment,White,English
182,[20.000-25.000),F,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Four,,Family,House,White,English
183,[75.000-,F,Single,18-24,Graduated High Scool,Sales Worker,4-6 years,Not Married,Three,One,Family,House,White,English
184,[15.000-20.000),F,Divorced,65+,Grad Study,Professional/Managerial,10+ years,Not Married,One,,Rent,House,White,English
185,[50.000-75.000),M,Single,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Two,,Own,House,Pacific Islander,English
186,[40.000-50.000),M,Single,25-34,College graduate,Professional/Managerial,4-6 years,Not Married,Two,,Rent,Condominium,White,English
187,[40.000-50.000),M,Married,25-34,College graduate,Professional/Managerial,7-10 years,Yes,Three,One,Rent,Apartment,White,Other
188,[40.000-50.000),M,Single,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,One,,Rent,Condominium,White,English
189,[50.000-75.000),F,Married,25-34,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
190,-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",7-10 years,Not Married,Three,One,Family,House,Asian,English
191,[50.000-75.000),F,Married,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
192,[30.000-40.000),F,Single,25-34,College graduate,Professional/Managerial,10+ years,Not Married,Two,,Own,House,Hispanic,English
193,[50.000-75.000),M,Married,55-64,Grad Study,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
194,[15.000-20.000),M,Married,65+,Graduated High Scool,Retired,,No,,,Own,House,White,English
195,[20.000-25.000),M,Together,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Four,,Rent,House,White,English
196,[75.000-,F,Married,35-44,1 to 3 years of college,Homemaker,10+ years,No,Five,Three,Own,House,White,English
197,[30.000-40.000),F,Married,45-54,Graduated High Scool,Clerical/Service Worker,10+ years,Yes,Three,,Own,House,White,English
198,[75.000-,F,Married,55-64,College graduate,Homemaker,10+ years,No,Two,,Own,,White,English
199,-10.000),F,Married,45-54,Graduated High Scool,Professional/Managerial,10+ years,No,Three,One,Own,House,White,English
200,[50.000-75.000),M,Married,35-44,Grad Study,Professional/Managerial,10+ years,Yes,Two,,Own,Condominium,White,English
201,[25.000-30.000),M,Single,18-24,College graduate,Professional/Managerial,10+ years,Not Married,Three,,Rent,Apartment,Asian,English
202,[25.000-30.000),F,Divorced,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Four,One,Own,Mobile Home,Hispanic,English
203,[10.000-15.000),M,Single,18-24,College graduate,Clerical/Service Worker,4-6 years,Not Married,One,,Family,House,White,English
204,[30.000-40.000),F,Married,45-54,Grades 9 to 11,Homemaker,10+ years,No,Four,One,,Apartment,White,English
205,[30.000-40.000),M,Married,35-44,Grade 8 or less,Sales Worker,10+ years,Yes,Three,One,Rent,Apartment,Hispanic,English
206,[50.000-75.000),F,Single,18-24,Graduated High Scool,"Student, HS or College",10+ years,Not Married,Three,,Family,House,White,English
207,[50.000-75.000),F,Single,18-24,Graduated High Scool,"Student, HS or College",10+ years,Not Married,Six,,Rent,Other,White,English
208,-10.000),F,Single,14-17,,"Student, HS or College",4-6 years,Not Married,Four,Two,Family,House,Hispanic,English
209,[40.000-50.000),F,Divorced,35-44,Grad Study,Professional/Managerial,10+ years,Not Married,One,,Own,House,White,English
210,[75.000-,F,Married,25-34,College graduate,Professional/Managerial,7-10 years,Yes,Three,One,Own,House,White,English
211,[25.000-30.000),F,Single,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,One,One,Own,House,White,English
212,[50.000-75.000),M,Married,65+,College graduate,Retired,10+ years,No,Two,,Own,House,White,English
213,[75.000-,M,Married,45-54,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,
214,-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,Three,One,Family,Condominium,Hispanic,English
215,[20.000-25.000),M,Married,25-34,1 to 3 years of college,,10+ years,Yes,Two,,Rent,Condominium,White,English
216,[50.000-75.000),M,Married,55-64,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Three,,Own,House,White,English
217,[40.000-50.000),M,Divorced,45-54,Graduated High Scool,Factory Worker/Laborer/Driver,7-10 years,Not Married,Four,One,Rent,House,White,English
218,[75.000-,M,Married,25-34,1 to 3 years of college,Professional/Managerial,7-10 years,Yes,Four,Two,Rent,House,White,English
219,[75.000-,M,Married,55-64,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
220,[50.000-75.000),M,Married,55-64,Grad Study,Professional/Managerial,10+ years,Yes,Three,One,Own,House,White,English
221,[30.000-40.000),F,Together,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,Two,,Rent,Apartment,White,English
222,[40.000-50.000),M,Married,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Yes,Two,,Own,House,White,English
223,[75.000-,M,Married,55-64,Grad Study,Retired,10+ years,No,Two,,Own,House,White,English
224,[50.000-75.000),M,Single,18-24,Graduated High Scool,Professional/Managerial,10+ years,Not Married,Three,,Rent,Condominium,White,English
225,[30.000-40.000),M,Married,45-54,,Sales Worker,10+ years,Yes,Four,Two,Own,House,White,English
226,[50.000-75.000),M,Married,45-54,Grad Study,Professional/Managerial,10+ years,No,Two,One,Own,House,Black,English
227,[75.000-,M,Single,14-17,Grades 9 to 11,Clerical/Service Worker,10+ years,Not Married,Four,Two,Family,House,White,English
228,[50.000-75.000),M,Married,55-64,College graduate,Professional/Managerial,10+ years,No,Two,,Own,House,White,English
229,[75.000-,M,Married,65+,1 to 3 years of college,Retired,10+ years,Yes,Two,,Own,House,White,English
230,[75.000-,M,Married,55-64,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Two,,Rent,House,White,English
231,[20.000-25.000),M,Single,25-34,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Four,,Rent,House,White,English
232,[75.000-,M,Single,18-24,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,Three,,Family,House,White,English
